                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    2580                                     1486                  2.0000000000000000E+000                  8.9999999999999993E-003                  1.3429679892131896E+009                  2.4414556899796553E+003                  4.6766454366606285E+003                  1.0095529886221307E+002                  1.5305546130875925E+001                  9.8389035808193381E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9913646731816391E-006                  2.6559212615114552E-001                  4.4172824783659125E-047                  7.2259764517945424E-001                  8.6584409727093962E-004                  2.0000000000000000E+000                  0.0000000000000000E+000                  1.0965374758809925E+000                  5.1358723737379036E-004                  6.2716379625424412E-001                  7.2630510533052195E-002                  3.1024607256581339E-003                  1.9204569011900099E-001                  1.7327577553984577E-003                  4.5787181666490923E-001                  2.6072484409542507E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2375545756302436E+005                  6.0962525478431235E+004                  1.9810748148342982E+008                  7.6731682292906029E+001                  7.3800757783507251E+001                  1.1104064379925769E-003                  5.7329914386806111E+000                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.2380846616394152E+016                               "r23.05.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20250327"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  2.0000000000000000E+000                  1.1848488306595353E+000                  3.6699346305392813E+000                 -7.6343959008891886E+000                  3.8550410670521149E+000                  7.3499999998218246E-001                  2.5600000002094458E-001                  8.9999999968729538E-003                  8.7555705141031176E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.9999999999985001E+000                  1.1848488269803221E+000                  3.6699350474881705E+000                 -7.6343929828731794E+000                  3.8550444023393089E+000                  7.3499999998218224E-001                  2.5600000002094486E-001                  8.9999999968728428E-003                  8.7556536484226776E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.9999999999966329E+000                  1.1848488224004980E+000                  3.6699357865832760E+000                 -7.6343878103995069E+000                  3.8550503144794388E+000                  7.3499999998218191E-001                  2.5600000002094520E-001                  8.9999999968728428E-003                  8.7557932476087660E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.9999999999925313E+000                  1.1848488123403329E+000                  3.6699372231860958E+000                 -7.6343777568132829E+000                  3.8550618057791706E+000                  7.3499999998218146E-001                  2.5600000002094575E-001                  8.9999999968728428E-003                  8.7560483844424255E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.9999999999850313E+000                  1.1848487939450305E+000                  3.6699398932724088E+000                 -7.6343590722012946E+000                  3.8550831625422912E+000                  7.3499999998218035E-001                  2.5600000002094708E-001                  8.9999999968726208E-003                  8.7565668276489315E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.9999999999709686E+000                  1.1848487594553125E+000                  3.6699458612074651E+000                 -7.6343173150086852E+000                  3.8551308922871828E+000                  7.3499999998212462E-001                  2.5600000002101264E-001                  8.9999999968627398E-003                  8.7641124085912404E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.9999999999368379E+000                  1.1848486757539134E+000                  3.6699517932798069E+000                 -7.6342758172405247E+000                  3.8551783267209343E+000                  7.3499999998203602E-001                  2.5600000002111667E-001                  8.9999999968473077E-003                  8.7755959535620800E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.9999999999230684E+000                  1.1848486419891766E+000                  3.6699563134845072E+000                 -7.6342442004386752E+000                  3.8552144672293536E+000                  7.3499999998200294E-001                  2.5600000002115564E-001                  8.9999999968414235E-003                  8.7802147948630867E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.9999999999003388E+000                  1.1848485862574569E+000                  3.6699625120283055E+000                 -7.6342008514322792E+000                  3.8552640195847219E+000                  7.3499999998193810E-001                  2.5600000002123180E-001                  8.9999999968300992E-003                  8.7888851221493273E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
